ingredients,label,prediction
"high fructose corn syrup, hydrogenated oil, artificial flavors, red 40, sodium benzoate, bht bha tbhq",1,Avoid
"whole grain pasta, tomatoes, basil, olive oil, garlic, sea salt",0,Safe
"corn syrup, glucose, gelatin, artificial flavors, yellow 5 yellow 6, artificial color",1,Avoid
"white flour, sugar, partially hydrogenated soybean oil, artificial vanilla, bha bht, msg monosodium glutamate",1,Avoid
"glucose syrup, cocoa butter, milk powder, emulsifiers e471 e472, vanillin, artificial color",1,Avoid
"enriched flour, sugar, soybean oil, salt, tbhq, nonfat milk, high fructose corn syrup",1,Avoid
"chia seeds, almond milk, vanilla, maple syrup, sea salt",0,Safe
"tempeh, tamari, sesame oil, garlic, ginger, organic cane sugar",0,Safe
"brown sugar, whole milk, eggs, vanilla, cocoa powder, butter",0,Caution
"sugar, palm oil, artificial colors, maltodextrin, monosodium glutamate, artificial color",1,Avoid
"enriched flour, sugar, soybean oil, salt, tbhq, nonfat milk, bht bha tbhq",1,Avoid
"sugar, palm oil, artificial colors, maltodextrin, monosodium glutamate, high fructose corn syrup",1,Avoid
"corn syrup, glucose, gelatin, artificial flavors, yellow 5 yellow 6, high fructose corn syrup",1,Avoid
"beet, carrot, apple, ginger, lemon juice, lemon juice",0,Safe
"high fructose corn syrup, hydrogenated oil, artificial flavors, red 40, sodium benzoate",1,Avoid
"water, whole grain oats, natural honey, blueberries, almonds, sea salt",0,Safe
"chia seeds, almond milk, vanilla, maple syrup, sea salt",0,Safe
"sodium benzoate, potassium sorbate, acesulfame k, sucralose, red 40 lake, sodium benzoate",1,Avoid
"enriched flour, sugar, corn syrup, soybean oil, salt, tbhq, artificial color",1,Avoid
"avocado, tomato, onion, cilantro, lime juice, salt, sea salt",0,Safe
"modified potato starch, monosodium glutamate, artificial flavor, disodium inosinate",1,Avoid
"sugar, partially hydrogenated palm oil, whey, artificial color, propylene glycol",1,Avoid
"tempeh, tamari, sesame oil, garlic, ginger, apple cider vinegar",0,Safe
"modified starch, sodium nitrite, carmine, aspartame, potassium sorbate",1,Avoid
"sweet potato, olive oil, rosemary, sea salt, spices",0,Safe
"monosodium glutamate, disodium guanylate, disodium inosinate, sodium diacetate, msg monosodium glutamate",1,Avoid
"sodium benzoate, potassium sorbate, citric acid, caramel color, phosphoric acid, artificial color",1,Avoid
"tempeh, tamari, sesame oil, garlic, ginger, lemon juice",0,Safe
"oat flour, banana, eggs, vanilla extract, baking powder, lemon juice",0,Safe
"spinach, kale, cucumber, celery, ginger, lemon, organic cane sugar",0,Safe
"coconut water, lime, mint, spices",0,Safe
"high fructose corn syrup, hydrogenated oil, artificial flavors, red 40, sodium benzoate, high fructose corn syrup",1,Avoid
"monosodium glutamate, disodium guanylate, disodium inosinate, sodium diacetate, bht bha tbhq",1,Avoid
"high fructose corn syrup, caramel color, phosphoric acid, natural flavors",1,Avoid
"sugar, palm oil, artificial colors, maltodextrin, monosodium glutamate, bht bha tbhq",1,Avoid
"almonds, cashews, walnuts, pumpkin seeds, raisins, spices",0,Safe
"sweet potato, olive oil, rosemary, sea salt, apple cider vinegar",0,Safe
"whole wheat flour, water, yeast, salt, lemon juice",0,Safe
"monosodium glutamate, disodium guanylate, disodium inosinate, sodium diacetate, artificial color",1,Avoid
"sugar, partially hydrogenated palm oil, whey, artificial color, propylene glycol, sodium benzoate",1,Avoid
"modified starch, sodium nitrite, carmine, aspartame, potassium sorbate, bht bha tbhq",1,Avoid
"chicken breast, brown rice, steamed broccoli, olive oil, lemon juice",0,Safe
"hydrogenated vegetable oil, sugar, skim milk powder, sodium caseinate, e471, high fructose corn syrup",1,Avoid
"air popped popcorn, nutritional yeast, sea salt, organic cane sugar",0,Safe
"orange, grapefruit, lemon, sparkling water, spices",0,Safe
"artificial sweeteners aspartame saccharin acesulfame, food dyes fd c red 3, msg monosodium glutamate",1,Avoid
"glucose syrup, cocoa butter, milk powder, emulsifiers e471 e472, vanillin, sodium benzoate",1,Avoid
"hummus, olive oil, lemon, garlic, chickpeas, tahini, organic cane sugar",0,Safe
"organic apples, cinnamon, lemon juice, spices",0,Safe
"sodium nitrate, dextrose, modified food starch, carrageenan, lactic acid starter",1,Avoid
"avocado, tomato, onion, cilantro, lime juice, salt, organic cane sugar",0,Safe
"sodium nitrate, dextrose, modified food starch, carrageenan, lactic acid starter, high fructose corn syrup",1,Avoid
"chia seeds, almond milk, vanilla, maple syrup, apple cider vinegar",0,Safe
"sugar, partially hydrogenated palm oil, whey, artificial color, propylene glycol, high fructose corn syrup",1,Avoid
"spinach, kale, cucumber, celery, ginger, lemon, organic cane sugar",0,Safe
"sugar, milk chocolate, palm kernel oil, soy lecithin, vanillin artificial flavor, bht bha tbhq",1,Avoid
"modified potato starch, monosodium glutamate, artificial flavor, disodium inosinate, high fructose corn syrup",1,Avoid
"avocado, tomato, onion, cilantro, lime juice, salt, organic cane sugar",0,Safe
"egg whites, spinach, mushrooms, onion, garlic, spices",0,Safe
"enriched flour, sugar, corn syrup, soybean oil, salt, tbhq, artificial color, msg monosodium glutamate",1,Avoid
"turkey breast, lettuce, tomato, mustard, whole grain bread, apple cider vinegar",0,Safe
"enriched flour, sugar, corn syrup, soybean oil, salt, tbhq, artificial color, artificial color",1,Avoid
"avocado, tomato, onion, cilantro, lime juice, salt, spices",0,Safe
"whole grain pasta, tomatoes, basil, olive oil, garlic, spices",0,Safe
"corn syrup solids, hydrogenated coconut oil, sodium caseinate, dipotassium phosphate, artificial color",1,Avoid
"sugar, palm fat, whey powder, skimmed milk powder, soy lecithin, pgpr vanillin, bht bha tbhq",1,Avoid
"corn syrup solids, trans fat, sucralose, acesulfame potassium, tartrazine",1,Avoid
"sweet potato, olive oil, rosemary, sea salt, lemon juice",0,Safe
"sodium nitrite, sodium phosphate, corn syrup, dextrose, modified corn starch, bht bha tbhq",1,Avoid
"plain oatmeal, chia seeds, almond milk, banana, sea salt",0,Safe
"sodium nitrite, sodium phosphate, corn syrup, dextrose, modified corn starch",1,Avoid
"enriched flour, sugar, soybean oil, salt, tbhq, nonfat milk",1,Avoid
"butylated hydroxytoluene, butylated hydroxyanisole, propyl gallate, tbhq, msg monosodium glutamate",1,Avoid
"enriched flour, sugar, corn syrup, soybean oil, salt, tbhq, artificial color, bht bha tbhq",1,Avoid
"water, whole grain oats, natural honey, blueberries, almonds, sea salt",0,Safe
"quinoa, chickpeas, parsley, olive oil, lemon, sea salt",0,Safe
"sodium nitrate, dextrose, modified food starch, carrageenan, lactic acid starter, artificial color",1,Avoid
"skim milk, oats, blueberries, flaxseed, spices",0,Safe
"tofu, broccoli, soy sauce, garlic, ginger, sesame oil, spices",0,Safe
"lentils, carrots, tomatoes, onion, turmeric, water, organic cane sugar",0,Safe
"sugar, palm oil, artificial colors, maltodextrin, monosodium glutamate",1,Avoid
"chicken breast, brown rice, steamed broccoli, olive oil",0,Safe
"brown rice, black beans, olive oil, garlic, cumin, lemon juice",0,Safe
"sugar, partially hydrogenated palm oil, whey, artificial color, propylene glycol, bht bha tbhq",1,Avoid
"sodium benzoate, potassium sorbate, citric acid, caramel color, phosphoric acid, msg monosodium glutamate",1,Avoid
"sodium benzoate, potassium sorbate, acesulfame k, sucralose, red 40 lake, high fructose corn syrup",1,Avoid
"modified potato starch, monosodium glutamate, artificial flavor, disodium inosinate, sodium benzoate",1,Avoid
"edamame, sea salt, organic cane sugar",0,Safe
"brown rice, black beans, olive oil, garlic, cumin, sea salt",0,Safe
"edamame, sea salt",0,Safe
"air popped popcorn, nutritional yeast, sea salt, spices",0,Safe
"tempeh, tamari, sesame oil, garlic, ginger, sea salt",0,Safe
"orange, grapefruit, lemon, sparkling water, lemon juice",0,Safe
"sweet potato, olive oil, rosemary, sea salt, spices",0,Safe
"monosodium glutamate, disodium guanylate, disodium inosinate, sodium diacetate",1,Avoid
"glucose fructose syrup, acidity regulator e330, colorings e150d e160a, e211, sodium benzoate",1,Avoid
"partially hydrogenated soybean oil, high fructose corn syrup, artificial vanilla, sodium benzoate",1,Avoid
"sugar, palm fat, whey powder, skimmed milk powder, soy lecithin, pgpr vanillin, msg monosodium glutamate",1,Avoid
"modified potato starch, monosodium glutamate, artificial flavor, disodium inosinate, sodium benzoate",1,Avoid
"white flour, sugar, partially hydrogenated soybean oil, artificial vanilla, bha bht, high fructose corn syrup",1,Avoid
"orange, grapefruit, lemon, sparkling water, lemon juice",0,Safe
"white flour, sugar, partially hydrogenated soybean oil, artificial vanilla, bha bht",1,Avoid
"water, whole grain oats, natural honey, blueberries, almonds, lemon juice",0,Safe
"corn syrup solids, hydrogenated coconut oil, sodium caseinate, dipotassium phosphate",1,Avoid
"brown rice, black beans, olive oil, garlic, cumin, apple cider vinegar",0,Safe
"hydrogenated vegetable oil, sugar, skim milk powder, sodium caseinate, e471, sodium benzoate",1,Avoid
"orange, grapefruit, lemon, sparkling water, lemon juice",0,Safe
"corn syrup, glucose, gelatin, artificial flavors, yellow 5 yellow 6, high fructose corn syrup",1,Avoid
"beet, carrot, apple, ginger, lemon juice",0,Safe
"sugar, maltitol, palm oil, cocoa powder, vanillin, e471 e476 lecithin, bht bha tbhq",1,Avoid
"chia seeds, almond milk, vanilla, maple syrup, lemon juice",0,Safe
"avocado, tomato, onion, cilantro, lime juice, salt",0,Safe
"organic apples, cinnamon, lemon juice, sea salt",0,Safe
"high fructose corn syrup, hydrogenated oil, artificial flavors, red 40, sodium benzoate, high fructose corn syrup",1,Avoid
"sodium nitrite, sodium phosphate, corn syrup, dextrose, modified corn starch, sodium benzoate",1,Avoid
"avocado, tomato, onion, cilantro, lime juice, salt, apple cider vinegar",0,Safe
"corn syrup solids, trans fat, sucralose, acesulfame potassium, tartrazine, sodium benzoate",1,Avoid
"sugar, palm fat, whey powder, skimmed milk powder, soy lecithin, pgpr vanillin, msg monosodium glutamate",1,Avoid
"lentils, carrots, tomatoes, onion, turmeric, water",0,Safe
"whole grain wheat, malt syrup, salt, sugar, nonfat milk",0,Caution
"tofu, broccoli, soy sauce, garlic, ginger, sesame oil",0,Safe
"whole grain pasta, tomatoes, basil, olive oil, garlic, organic cane sugar",0,Safe
"artificial sweeteners aspartame saccharin acesulfame, food dyes fd c red 3, bht bha tbhq",1,Avoid
"sugar, palm fat, whey powder, skimmed milk powder, soy lecithin, pgpr vanillin",1,Avoid
"black bean soup, cumin, cayenne, lime, lemon juice",0,Safe
"modified starch, sodium nitrite, carmine, aspartame, potassium sorbate, bht bha tbhq",1,Avoid
"black bean soup, cumin, cayenne, lime, spices",0,Safe
"hummus, olive oil, lemon, garlic, chickpeas, tahini, spices",0,Safe
"wheat flour, sugar, canola oil, salt, egg, milk",0,Caution
"sugar, milk chocolate, palm kernel oil, soy lecithin, vanillin artificial flavor, sodium benzoate",1,Avoid
"glucose fructose syrup, acidity regulator e330, colorings e150d e160a, e211, high fructose corn syrup",1,Avoid
"brown rice, black beans, olive oil, garlic, cumin, spices",0,Safe
"organic apples, cinnamon, lemon juice",0,Safe
"greek yogurt, strawberries, granola, honey, apple cider vinegar",0,Safe
"lentils, carrots, tomatoes, onion, turmeric, water, spices",0,Safe
"enriched flour, sugar, soybean oil, salt, tbhq, nonfat milk, artificial color",1,Avoid
"water, whole grain oats, natural honey, blueberries, almonds, spices",0,Safe
"partially hydrogenated soybean oil, high fructose corn syrup, artificial vanilla, bht bha tbhq",1,Avoid
"brown rice, black beans, olive oil, garlic, cumin, spices",0,Safe
"spinach, kale, cucumber, celery, ginger, lemon, lemon juice",0,Safe
"orange, grapefruit, lemon, sparkling water, organic cane sugar",0,Safe
"salmon, lemon, dill, olive oil, garlic, spices",0,Safe
"tofu, broccoli, soy sauce, garlic, ginger, sesame oil, spices",0,Safe
"oat flour, banana, eggs, vanilla extract, baking powder, lemon juice",0,Safe
"tofu, broccoli, soy sauce, garlic, ginger, sesame oil, spices",0,Safe
"bleached wheat flour, sugar, leavening, soybean oil, artificial flavor, bha, msg monosodium glutamate",1,Avoid
"sodium benzoate, potassium sorbate, acesulfame k, sucralose, red 40 lake, high fructose corn syrup",1,Avoid
"hydrogenated vegetable oil, sugar, skim milk powder, sodium caseinate, e471, sodium benzoate",1,Avoid
"bleached flour, shortening, dextrose, artificial sweetener, e102 e110",1,Avoid
"plain oatmeal, chia seeds, almond milk, banana, lemon juice",0,Safe
"sugar, palm fat, whey powder, skimmed milk powder, soy lecithin, pgpr vanillin, bht bha tbhq",1,Avoid
"coconut water, lime, mint, sea salt",0,Safe
"pasteurized milk, cream, salt, cheese cultures, enzymes",0,Caution
"corn syrup solids, trans fat, sucralose, acesulfame potassium, tartrazine, high fructose corn syrup",1,Avoid
"corn syrup solids, hydrogenated coconut oil, sodium caseinate, dipotassium phosphate, msg monosodium glutamate",1,Avoid
"high fructose corn syrup, hydrogenated oil, artificial flavors, red 40, sodium benzoate, msg monosodium glutamate",1,Avoid
"turkey breast, lettuce, tomato, mustard, whole grain bread",0,Safe
"whole wheat flour, water, yeast, salt",0,Safe
"partially hydrogenated soybean oil, high fructose corn syrup, artificial vanilla, high fructose corn syrup",1,Avoid
"lentils, carrots, tomatoes, onion, turmeric, water, apple cider vinegar",0,Safe
"chicken breast, brown rice, steamed broccoli, olive oil, apple cider vinegar",0,Safe
"brown rice, black beans, olive oil, garlic, cumin, sea salt",0,Safe
"high fructose corn syrup, caramel color, phosphoric acid, natural flavors, msg monosodium glutamate",1,Avoid
"sugar, maltitol, palm oil, cocoa powder, vanillin, e471 e476 lecithin",1,Avoid
